name,price,isStock,image_url,category,source_url
Hacı Şakir Lavanta Beyaz Kalıp Sabun 4 x 150 G,124.95,True,https://images.migrosone.com/sanalmarket/product/29031503/29031503-8b7edc-105x105.jpg,kisisel-bakim-kozmetik-saglik,https://www.migros.com.tr/rest/search/screens/kisisel-bakim-kozmetik-saglik-c-8?reid=1778323287088000126
Migros Limon Kolonyası Pet Şişe 400 Cc,51.95,True,https://images.migrosone.com/sanalmarket/product/34207010/34207010-c7f51b-105x105.jpg,kisisel-bakim-kozmetik-saglik,https://www.migros.com.tr/rest/search/screens/kisisel-bakim-kozmetik-saglik-c-8?reid=1778323287088000126
Mabel Marseille Serin Sular Duş Jeli 750 Ml,149.95,True,https://images.migrosone.com/sanalmarket/product/34370096/34370096_1-cc4210-105x105.jpg,kisisel-bakim-kozmetik-saglik,https://www.migros.com.tr/rest/search/screens/kisisel-bakim-kozmetik-saglik-c-8?reid=1778323287088000126
Canped Yatak Koruyucu Örtü 10'lu,127.95,True,https://images.migrosone.com/sanalmarket/product/31102030/31102030-948f32-105x105.jpg,kisisel-bakim-kozmetik-saglik,https://www.migros.com.tr/rest/search/screens/kisisel-bakim-kozmetik-saglik-c-8?reid=1778323287088000126
NIVEA Creme Care Ekstra Bakım Yapan Duş Jeli 250 Ml,239.95,True,https://images.migrosone.com/sanalmarket/product/34379151/34379151_1-ceeb7e-105x105.jpg,kisisel-bakim-kozmetik-saglik,https://www.migros.com.tr/rest/search/screens/kisisel-bakim-kozmetik-saglik-c-8?reid=1778323287088000126
Gillette Permatik Banyo Kullan At Tıraş Bıçağı 5 Adet,119.95,True,https://images.migrosone.com/sanalmarket/product/34130212/34130212-22f32e-105x105.jpg,kisisel-bakim-kozmetik-saglik,https://www.migros.com.tr/rest/search/screens/kisisel-bakim-kozmetik-saglik-c-8?reid=1778323287088000126
Orkid Platinum Uzun Tekli 7'li,51.48,True,https://images.migrosone.com/sanalmarket/product/31115658/31115658_1-41e3f8-105x105.jpg,kisisel-bakim-kozmetik-saglik,https://www.migros.com.tr/rest/search/screens/kisisel-bakim-kozmetik-saglik-c-8?reid=1778323287088000126
Nazar Bio Portakal Çiçeği Kokulu Sıvı Arap Sabunu,59.95,True,https://images.migrosone.com/sanalmarket/product/29753810/29753810_1-a35cba-105x105.jpg,kisisel-bakim-kozmetik-saglik,https://www.migros.com.tr/rest/search/screens/kisisel-bakim-kozmetik-saglik-c-8?reid=1778323287088000126
Dove Nemlendirici Sıvı Sabun Hindistan Cevizi Yağı ve Badem Sütü Özü 450 Ml,159.95,True,https://images.migrosone.com/sanalmarket/product/29789921/29789921_1-f430e2-105x105.jpg,kisisel-bakim-kozmetik-saglik,https://www.migros.com.tr/rest/search/screens/kisisel-bakim-kozmetik-saglik-c-8?reid=1778323287088000126
Mabel Marseille Şakayık Buket Sıvı El Sabun 500 Ml,59.95,True,https://images.migrosone.com/sanalmarket/product/29750044/29750044-ab2ca6-105x105.jpg,kisisel-bakim-kozmetik-saglik,https://www.migros.com.tr/rest/search/screens/kisisel-bakim-kozmetik-saglik-c-8?reid=1778323287088000126
